H,M,Mn
-120.0,-985.0,-1.0
-119.59999999998672,-984.0,-0.998984771573604
-119.19999999997344,-985.0,-1.0
-118.79999999996016,-984.0,-0.998984771573604
-118.39999999994689,-985.0,-1.0
-117.9999999999336,-984.0,-0.998984771573604
-117.59999999992031,-985.0,-1.0
-117.19999999990704,-985.0,-1.0
-116.79999999989376,-983.0,-0.997969543147208
-116.39999999988048,-985.0,-1.0
-115.9999999998672,-985.0,-1.0
-115.59999999985394,-985.0,-1.0
-115.19999999984066,-984.0,-0.998984771573604
-114.79999999982738,-982.0,-0.9969543147208122
-114.3999999998141,-983.0,-0.997969543147208
-113.99999999980082,-984.0,-0.998984771573604
-113.59999999978754,-984.0,-0.998984771573604
-113.19999999977426,-984.0,-0.998984771573604
-112.79999999976098,-985.0,-1.0
-112.3999999997477,-983.0,-0.997969543147208
-111.99999999973444,-984.0,-0.998984771573604
-111.59999999972116,-984.0,-0.998984771573604
-111.19999999970788,-985.0,-1.0
-110.7999999996946,-984.0,-0.998984771573604
-110.39999999968131,-983.0,-0.997969543147208
-109.99999999966803,-983.0,-0.997969543147208
-109.59999999965476,-984.0,-0.998984771573604
-109.19999999964148,-984.0,-0.998984771573604
-108.7999999996282,-985.0,-1.0
-108.39999999961492,-984.0,-0.998984771573604
-107.99999999960164,-985.0,-1.0
-107.59999999958836,-983.0,-0.997969543147208
-107.19999999957508,-981.0,-0.9959390862944164
-106.7999999995618,-984.0,-0.998984771573604
-106.39999999954853,-984.0,-0.998984771573604
-105.99999999953523,-984.0,-0.998984771573604
-105.59999999952196,-984.0,-0.998984771573604
-105.19999999950868,-984.0,-0.998984771573604
-104.7999999994954,-983.0,-0.997969543147208
-104.39999999948212,-984.0,-0.998984771573604
-103.99999999946886,-985.0,-1.0
-103.59999999945558,-985.0,-1.0
-103.1999999994423,-981.0,-0.9959390862944164
-102.79999999942902,-983.0,-0.997969543147208
-102.39999999941574,-983.0,-0.997969543147208
-101.99999999940246,-984.0,-0.998984771573604
-101.59999999938918,-983.0,-0.997969543147208
-101.1999999993759,-982.0,-0.9969543147208122
-100.79999999936264,-985.0,-1.0
-100.39999999934936,-983.0,-0.997969543147208
-99.99999999933608,-983.0,-0.997969543147208
-99.5999999993228,-980.0,-0.9949238578680204
-99.19999999930953,-984.0,-0.998984771573604
-98.79999999929623,-984.0,-0.998984771573604
-98.39999999928295,-981.0,-0.9959390862944164
-97.99999999926968,-984.0,-0.998984771573604
-97.5999999992564,-982.0,-0.9969543147208122
-97.19999999924312,-985.0,-1.0
-96.79999999922984,-982.0,-0.9969543147208122
-96.39999999921656,-984.0,-0.998984771573604
-95.99999999920328,-984.0,-0.998984771573604
-95.59999999919,-982.0,-0.9969543147208122
-95.19999999917673,-984.0,-0.998984771573604
-94.79999999916345,-984.0,-0.998984771573604
-94.39999999915015,-984.0,-0.998984771573604
-93.99999999913688,-980.0,-0.9949238578680204
-93.5999999991236,-983.0,-0.997969543147208
-93.19999999911032,-982.0,-0.9969543147208122
-92.79999999909704,-982.0,-0.9969543147208122
