H,M,Mn
-120.0,-1000.0,-1.0
-119.59999999998672,-1000.0,-1.0
-119.19999999997344,-1000.0,-1.0
-118.79999999996016,-1000.0,-1.0
-118.39999999994689,-1000.0,-1.0
-117.9999999999336,-1000.0,-1.0
-117.59999999992031,-1000.0,-1.0
-117.19999999990704,-1000.0,-1.0
-116.79999999989376,-1000.0,-1.0
-116.39999999988048,-1000.0,-1.0
-115.9999999998672,-1000.0,-1.0
-115.59999999985394,-1000.0,-1.0
-115.19999999984066,-1000.0,-1.0
-114.79999999982738,-1000.0,-1.0
-114.3999999998141,-1000.0,-1.0
-113.99999999980082,-1000.0,-1.0
-113.59999999978754,-1000.0,-1.0
-113.19999999977426,-1000.0,-1.0
-112.79999999976098,-1000.0,-1.0
-112.3999999997477,-1000.0,-1.0
-111.99999999973444,-1000.0,-1.0
-111.59999999972116,-1000.0,-1.0
-111.19999999970788,-1000.0,-1.0
-110.7999999996946,-1000.0,-1.0
-110.39999999968131,-1000.0,-1.0
-109.99999999966803,-1000.0,-1.0
-109.59999999965476,-1000.0,-1.0
-109.19999999964148,-1000.0,-1.0
-108.7999999996282,-1000.0,-1.0
-108.39999999961492,-1000.0,-1.0
-107.99999999960164,-1000.0,-1.0
-107.59999999958836,-1000.0,-1.0
-107.19999999957508,-1000.0,-1.0
-106.7999999995618,-1000.0,-1.0
-106.39999999954853,-1000.0,-1.0
-105.99999999953523,-1000.0,-1.0
-105.59999999952196,-1000.0,-1.0
-105.19999999950868,-1000.0,-1.0
-104.7999999994954,-1000.0,-1.0
-104.39999999948212,-1000.0,-1.0
-103.99999999946886,-1000.0,-1.0
-103.59999999945558,-1000.0,-1.0
-103.1999999994423,-1000.0,-1.0
-102.79999999942902,-1000.0,-1.0
-102.39999999941574,-1000.0,-1.0
-101.99999999940246,-1000.0,-1.0
-101.59999999938918,-1000.0,-1.0
-101.1999999993759,-1000.0,-1.0
-100.79999999936264,-1000.0,-1.0
-100.39999999934936,-1000.0,-1.0
-99.99999999933608,-1000.0,-1.0
-99.5999999993228,-999.0,-0.999
-99.19999999930953,-1000.0,-1.0
-98.79999999929623,-1000.0,-1.0
-98.39999999928295,-1000.0,-1.0
-97.99999999926968,-1000.0,-1.0
-97.5999999992564,-999.0,-0.999
-97.19999999924312,-1000.0,-1.0
-96.79999999922984,-1000.0,-1.0
-96.39999999921656,-1000.0,-1.0
-95.99999999920328,-1000.0,-1.0
-95.59999999919,-1000.0,-1.0
-95.19999999917673,-1000.0,-1.0
-94.79999999916345,-1000.0,-1.0
-94.39999999915015,-1000.0,-1.0
-93.99999999913688,-1000.0,-1.0
-93.5999999991236,-1000.0,-1.0
-93.19999999911032,-1000.0,-1.0
-92.79999999909704,-1000.0,-1.0
-92.39999999908378,-1000.0,-1.0
-91.9999999990705,-1000.0,-1.0
-91.59999999905722,-1000.0,-1.0
-91.19999999904394,-1000.0,-1.0
-90.79999999903066,-1000.0,-1.0
-90.39999999901738,-1000.0,-1.0
-89.9999999990041,-1000.0,-1.0
-89.59999999899082,-1000.0,-1.0
-89.19999999897755,-1000.0,-1.0
-88.79999999896427,-1000.0,-1.0
-88.39999999895099,-1000.0,-1.0
-87.99999999893771,-1000.0,-1.0
-87.59999999892443,-1000.0,-1.0
-87.19999999891115,-999.0,-0.999
-86.79999999889787,-999.0,-0.999
-86.3999999988846,-1000.0,-1.0
-85.99999999887132,-1000.0,-1.0
-85.59999999885804,-1000.0,-1.0
-85.19999999884476,-1000.0,-1.0
-84.79999999883148,-1000.0,-1.0
-84.3999999988182,-1000.0,-1.0
-83.99999999880492,-999.0,-0.999
-83.59999999879165,-999.0,-0.999
-83.19999999877837,-999.0,-0.999
-82.79999999876509,-999.0,-0.999
-82.39999999875181,-1000.0,-1.0
-81.99999999873853,-1000.0,-1.0
-81.59999999872525,-1000.0,-1.0
-81.19999999871197,-1000.0,-1.0
-80.7999999986987,-1000.0,-1.0
-80.39999999868542,-1000.0,-1.0
-79.99999999867214,-1000.0,-1.0
-79.59999999865886,-1000.0,-1.0
-79.19999999864558,-1000.0,-1.0
-78.7999999986323,-1000.0,-1.0
-78.39999999861902,-1000.0,-1.0
-77.99999999860574,-999.0,-0.999
-77.59999999859247,-1000.0,-1.0
-77.19999999857919,-999.0,-0.999
-76.79999999856591,-1000.0,-1.0
-76.39999999855263,-1000.0,-1.0
-75.99999999853935,-1000.0,-1.0
-75.59999999852607,-1000.0,-1.0
-75.1999999985128,-1000.0,-1.0
-74.79999999849952,-1000.0,-1.0
-74.39999999848624,-1000.0,-1.0
-73.99999999847296,-1000.0,-1.0
-73.59999999845968,-1000.0,-1.0
-73.1999999984464,-1000.0,-1.0
-72.79999999843312,-1000.0,-1.0
-72.39999999841984,-999.0,-0.999
-71.99999999840657,-999.0,-0.999
-71.59999999839329,-999.0,-0.999
-71.19999999838001,-999.0,-0.999
-70.79999999836673,-1000.0,-1.0
-70.39999999835345,-1000.0,-1.0
-69.99999999834017,-998.0,-0.998
-69.5999999983269,-1000.0,-1.0
-69.19999999831361,-999.0,-0.999
-68.79999999830034,-997.0,-0.997
-68.39999999828706,-999.0,-0.999
-67.99999999827378,-999.0,-0.999
-67.5999999982605,-1000.0,-1.0
-67.19999999824722,-1000.0,-1.0
-66.79999999823394,-1000.0,-1.0
-66.39999999822066,-999.0,-0.999
-65.99999999820739,-999.0,-0.999
-65.59999999819411,-999.0,-0.999
-65.19999999818083,-998.0,-0.998
-64.79999999816755,-1000.0,-1.0
-64.39999999815427,-998.0,-0.998
-63.99999999814099,-997.0,-0.997
-63.599999998127714,-998.0,-0.998
-63.19999999811444,-999.0,-0.999
-62.79999999810116,-1000.0,-1.0
-62.39999999808788,-998.0,-0.998
-61.9999999980746,-999.0,-0.999
-61.59999999806132,-999.0,-0.999
-61.19999999804804,-998.0,-0.998
-60.79999999803477,-1000.0,-1.0
-60.399999998021485,-998.0,-0.998
-59.99999999800821,-1000.0,-1.0
-59.59999999799493,-999.0,-0.999
-59.19999999798165,-999.0,-0.999
-58.79999999796837,-999.0,-0.999
-58.39999999795509,-1000.0,-1.0
-57.99999999794181,-997.0,-0.997
-57.599999997928535,-1000.0,-1.0
-57.199999997915256,-1000.0,-1.0
-56.79999999790198,-998.0,-0.998
-56.3999999978887,-1000.0,-1.0
-55.99999999787542,-998.0,-0.998
-55.59999999786214,-996.0,-0.996
-55.19999999784886,-994.0,-0.994
-54.79999999783559,-996.0,-0.996
-54.39999999782231,-998.0,-0.998
-53.99999999780903,-993.0,-0.993
-53.59999999779575,-993.0,-0.993
-53.19999999778247,-998.0,-0.998
-52.79999999776919,-998.0,-0.998
-52.39999999775591,-996.0,-0.996
-51.99999999774264,-993.0,-0.993
-51.59999999772936,-996.0,-0.996
-51.19999999771608,-995.0,-0.995
-50.7999999977028,-994.0,-0.994
-50.39999999768952,-995.0,-0.995
-49.99999999767624,-995.0,-0.995
-49.59999999766296,-993.0,-0.993
-49.19999999764968,-997.0,-0.997
-48.799999997636405,-996.0,-0.996
-48.39999999762313,-996.0,-0.996
-47.99999999760985,-995.0,-0.995
-47.59999999759657,-997.0,-0.997
-47.19999999758329,-992.0,-0.992
-46.79999999757001,-992.0,-0.992
-46.39999999755673,-999.0,-0.999
-45.999999997543455,-998.0,-0.998
-45.599999997530176,-993.0,-0.993
-45.1999999975169,-990.0,-0.99
-44.79999999750362,-989.0,-0.989
-44.39999999749034,-995.0,-0.995
-43.99999999747706,-990.0,-0.99
-43.59999999746378,-986.0,-0.986
-43.1999999974505,-994.0,-0.994
-42.799999997437226,-992.0,-0.992
-42.39999999742395,-980.0,-0.98
-41.99999999741067,-988.0,-0.988
-41.59999999739739,-989.0,-0.989
-41.19999999738411,-984.0,-0.984
-40.79999999737083,-984.0,-0.984
-40.399999997357554,-986.0,-0.986
-39.99999999734428,-979.0,-0.979
-39.599999997331,-988.0,-0.988
-39.19999999731772,-990.0,-0.99
-38.79999999730444,-990.0,-0.99
-38.39999999729116,-986.0,-0.986
-37.99999999727788,-981.0,-0.981
-37.59999999726461,-983.0,-0.983
-37.199999997251325,-984.0,-0.984
-36.79999999723805,-980.0,-0.98
-36.39999999722477,-974.0,-0.974
-35.99999999721149,-974.0,-0.974
-35.59999999719821,-980.0,-0.98
-35.19999999718493,-964.0,-0.964
-34.79999999717165,-974.0,-0.974
-34.399999997158375,-977.0,-0.977
-33.999999997145096,-972.0,-0.972
-33.59999999713182,-968.0,-0.968
-33.19999999711854,-961.0,-0.961
-32.79999999710526,-967.0,-0.967
-32.39999999709198,-957.0,-0.957
-31.999999997078703,-970.0,-0.97
-31.599999997065424,-962.0,-0.962
-31.199999997052146,-959.0,-0.959
-30.799999997038867,-973.0,-0.973
-30.39999999702559,-950.0,-0.95
-29.99999999701231,-954.0,-0.954
-29.59999999699903,-958.0,-0.958
-29.199999996985756,-941.0,-0.941
-28.799999996972478,-930.0,-0.93
-28.399999996959195,-945.0,-0.945
-27.99999999694592,-941.0,-0.941
-27.59999999693264,-934.0,-0.934
-27.19999999691936,-948.0,-0.948
-26.79999999690608,-944.0,-0.944
-26.3999999968928,-931.0,-0.931
-25.999999996879524,-932.0,-0.932
